Entity,Code,Year,Government Expenditure (IMF based on Mauro et al. (2015))
Afghanistan,AFG,2003,14.06612913
Afghanistan,AFG,2004,15.6573216
Afghanistan,AFG,2005,17.20629674
Afghanistan,AFG,2006,21.53552863
Afghanistan,AFG,2007,21.99190354
Afghanistan,AFG,2008,21.54948714
Afghanistan,AFG,2009,21.86447458
Afghanistan,AFG,2010,21.11169652
Afghanistan,AFG,2011,22.9868095
Albania,ALB,1997,37.17889666
Albania,ALB,1998,43.26433453
Albania,ALB,1999,42.38211984
Albania,ALB,2000,38.47335767
Albania,ALB,2001,36.26489263
Albania,ALB,2002,34.89083729
Albania,ALB,2003,32.99615023
Albania,ALB,2004,33.19105055
Albania,ALB,2005,31.49977819
Albania,ALB,2006,32.18591059
Albania,ALB,2007,31.92286627
Albania,ALB,2008,34.70968038
Albania,ALB,2009,36.54311026
Albania,ALB,2010,33.38815055
Albania,ALB,2011,31.65025311
Algeria,DZA,1990,27.33405483
Algeria,DZA,1991,29.60451532
Algeria,DZA,1992,30.87610904
Algeria,DZA,1993,35.09082779
Algeria,DZA,1994,33.81625656
Algeria,DZA,1995,32.48330416
Algeria,DZA,1996,31.65634241
Algeria,DZA,1997,34.33483203
Algeria,DZA,1998,34.85374462
Algeria,DZA,1999,35.65793028
Algeria,DZA,2000,32.50571117
Algeria,DZA,2001,34.74164321
Algeria,DZA,2002,37.31860794
Algeria,DZA,2003,34.37208461
Algeria,DZA,2004,32.15125791
Algeria,DZA,2005,28.10458873
Algeria,DZA,2006,29.64703918
Algeria,DZA,2007,34.15584302
Algeria,DZA,2008,38.39140281
Algeria,DZA,2009,42.55493453
Algeria,DZA,2010,37.19326647
Algeria,DZA,2011,40.68145846
Angola,AGO,2000,55.04505882
Angola,AGO,2001,46.9185658
Angola,AGO,2002,41.0441097
Angola,AGO,2003,44.98059152
Angola,AGO,2004,38.04106483
Angola,AGO,2005,36.71002702
Angola,AGO,2006,39.94863809
Angola,AGO,2007,42.32446079
Angola,AGO,2008,57.33614396
Angola,AGO,2009,43.63790943
Angola,AGO,2010,39.11530214
Angola,AGO,2011,39.55557754
Argentina,ARG,1880,10.18703
Argentina,ARG,1881,10.608
Argentina,ARG,1882,12.98165
Argentina,ARG,1883,12.59537
Argentina,ARG,1884,12.52486
Argentina,ARG,1885,11.0642
Argentina,ARG,1886,11.82265
Argentina,ARG,1887,9.36557
Argentina,ARG,1888,9.09684
Argentina,ARG,1889,15.48328
Argentina,ARG,1890,10.35413
Argentina,ARG,1891,14.39886
Argentina,ARG,1892,10.71358
Argentina,ARG,1893,9.64148
Argentina,ARG,1894,10.10343
Argentina,ARG,1895,9.74488
Argentina,ARG,1896,10.75656
Argentina,ARG,1897,11.6383
Argentina,ARG,1898,19.52999
Argentina,ARG,1899,11.46543
Argentina,ARG,1900,11.49677
Argentina,ARG,1901,11.40432
Argentina,ARG,1902,12.62946
Argentina,ARG,1903,11.0266
Argentina,ARG,1904,10.09434
